"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"0400000US12","Florida","7905832","23042","485909","10545","3071767","23826","3018675","25524","961765","18108","367716","10463","2264095","24914","311088","9522","1665770","21722","235453","8870","37826","3724","13958","2447","2955262","23167","106423","5523","929024","17209","1602327","19317","260113","9059","57375","3984","1196322","19802","34756","3921","261407","11852","523115","11499","307492","9664","69552","5002","1490153","19039","33642","3547","215566","8449","657780","16041","356334","10220","226831","8167",
"0500000US12001","Alachua County, Florida","103024","2847","7988","1814","41816","3301","37168","2559","11375","1980","4677","1185","37399","3121","5478","1367","28207","2683","3236","904","281","230","197","198","36822","3178","1746","918","8983","1882","21328","2274","3704","973","1061","635","14003","2141","707","508","2980","1097","5761","1204","3742","1162","813","520","14800","1975","57","98","1646","805","6843","1249","3648","1099","2606","862",
"0500000US12005","Bay County, Florida","69195","2744","2648","919","23123","2252","31267","2509","8443","1311","3714","969","19039","2443","1256","644","15128","2369","2204","798","239","227","212","227","27383","2744","549","312","6158","1485","16677","1907","3175","969","824","454","11265","2265","418","394","1172","599","5643","1728","2802","821","1230","715","11508","1643","425","383","665","388","6743","1464","2227","842","1448","577",
"0500000US12009","Brevard County, Florida","230043","4772","9678","1362","89614","4035","90201","5112","29477","2952","11073","2068","78916","4750","6868","1198","57351","4326","12225","2169","1748","1257","724","538","87922","4536","1623","641","22365","2271","51173","3501","9836","1647","2925","981","31905","3539","379","253","5845","1727","12474","2057","10151","1835","3056","1175","31300","3040","808","538","4053","1289","14329","2372","7742","1855","4368","1094",
"0500000US12011","Broward County, Florida","705472","7707","54552","4334","276365","9807","263588","8437","81619","5802","29348","2618","211605","7592","34243","3309","156609","6731","17439","2460","2919","1008","395","275","235074","8231","12768","2424","71695","5005","130477","6615","17127","2708","3007","906","114568","5902","4230","1258","28085","3803","47354","4138","28976","2765","5923","1436","144225","6599","3311","1367","19976","3194","68318","5093","32597","3621","20023","2484",
"0500000US12015","Charlotte County, Florida","76589","3272","4855","976","31585","2710","30649","2604","7137","1488","2363","827","23687","2323","3249","950","17413","2224","2387","798","475","411","163","165","38862","2574","1194","550","12453","1808","21886","1961","2680","827","649","397","7348","1397","365","314","1041","640","3578","1110","1832","548","532","451","6692","1335","47","82","678","421","2798","788","2150","842","1019","455",
"0500000US12017","Citrus County, Florida","64448","2659","3228","1083","25271","2711","25793","2903","7595","1674","2561","854","17686","2493","2627","1061","12220","1914","2339","969","500","392","0","234","32864","2299","546","425","9861","1469","17601","2306","3833","1259","1023","521","7234","1575","0","234","2091","884","2853","1007","1663","706","627","336","6664","1616","55","93","1099","945","3000","992","1599","767","911","558",
"0500000US12019","Clay County, Florida","75793","1945","3334","1083","18850","2591","34323","3018","13297","2081","5989","1228","13642","2028","1744","648","9268","1784","2325","1022","40","67","265","289","26529","2529","859","597","5956","1444","16765","2415","2825","815","124","156","13983","2390","594","447","2259","1303","5701","1570","3846","1066","1583","646","21639","2583","137","174","1367","745","9532","1922","6586","1875","4017","1136",
"0500000US12021","Collier County, Florida","140578","5062","7060","1820","55860","3626","56799","4349","15387","2604","5472","1611","36328","3430","3890","1307","28336","3117","3826","1054","276","269","0","234","66140","4134","2061","877","23282","2911","35018","3697","5043","1426","736","429","16838","2510","528","513","2353","939","7720","1837","5493","1796","744","636","21272","2770","581","410","1889","825","10235","1924","4575","1198","3992","1349",
"0500000US12023","Columbia County, Florida","25240","1483","823","478","10985","1351","7963","1244","4317","1156","1152","521","7920","1431","287","256","6567","1359","605","434","461","432","0","234","10102","1193","163","196","3245","987","4728","874","1358","495","608","400","2845","816","0","234","913","565","887","420","699","359","346","300","4373","980","373","392","260","271","1743","667","1799","718","198","220",
"0500000US12031","Duval County, Florida","368668","4596","26907","3342","145236","7015","141186","5999","40276","3179","15063","2585","118682","5614","17610","2868","86880","5598","11767","2203","1502","680","923","759","121077","5524","4200","1195","32620","3311","70830","4781","10956","2157","2471","938","62573","4559","2681","1233","14926","3014","26406","3309","15645","2125","2915","1003","66336","5030","2416","769","10810","2079","32183","4007","12173","1952","8754","2194",
"0500000US12033","Escambia County, Florida","120618","3101","8093","1846","46632","3235","44979","3415","16372","1960","4542","951","38419","3487","4822","1388","26466","2799","5980","1532","873","506","278","292","39840","2977","2028","858","10658","1744","21606","2213","4898","898","650","342","19924","2426","453","378","5736","1532","6894","1510","5566","1086","1275","567","22435","2471","790","544","3772","1337","10499","1808","5035","1178","2339","776",
"0500000US12035","Flagler County, Florida","44464","1735","864","417","15834","1622","19075","1930","6588","1339","2103","723","11060","1466","617","347","8437","1408","1949","783","57","95","0","234","19819","1885","247","205","4560","1169","12357","1457","2343","772","312","263","7271","1164","0","234","1912","846","2633","827","2342","687","384","270","6314","1354","0","234","925","543","2136","836","1846","707","1407","751",
"0500000US12053","Hernando County, Florida","78755","1776","4580","1013","31059","2531","29436","2193","9665","1605","4015","941","22118","2653","2885","857","15513","2354","2795","955","682","367","243","214","30538","2223","1278","644","11335","1535","14576","1665","2662","934","687","430","12123","1989","47","84","2147","782","5429","1384","3637","1063","863","580","13976","1894","370","267","2064","891","6636","1262","2684","934","2222","694",
"0500000US12055","Highlands County, Florida","43351","2443","2610","829","19533","1876","15260","1998","5044","1316","904","452","12878","1505","2286","834","8766","1508","1569","621","257","328","0","234","20659","2214","227","226","9397","1527","8830","1544","2089","787","116","136","4288","1187","21","40","808","523","2340","1007","914","482","205","232","5526","1206","76","89","562","415","2521","959","1784","847","583","360",
"0500000US12057","Hillsborough County, Florida","541584","4189","33169","3376","204523","6316","211983","5618","66252","3401","25657","2712","162796","5876","22003","2624","119880","5742","16512","2594","2556","828","1845","936","180962","5878","6177","1658","48859","3598","105012","4422","16735","2148","4179","1046","88950","5201","2907","968","18469","2402","39257","3260","23555","2157","4762","1062","108876","5389","2082","808","17315","2466","51202","3940","23406","2227","14871","2115",
"0500000US12061","Indian River County, Florida","63917","2654","2222","1049","26395","2720","26608","2893","6482","1487","2210","767","18622","2014","1485","846","14655","2042","1949","615","323","349","210","166","28924","1802","331","273","8172","1316","17236","1941","2265","708","920","653","7808","1924","0","234","1575","1029","3764","1360","2212","800","257","255","8563","1532","406","625","1993","1233","3659","1534","1682","812","823","472",
"0500000US12069","Lake County, Florida","139192","3527","7556","1722","54103","3609","54721","4116","16600","2266","6212","1440","35340","3156","5009","1393","25353","2936","3850","1208","913","515","215","274","60345","3321","2099","1116","21185","2209","31262","3016","4894","917","905","495","20798","2534","409","570","4249","1489","8528","2067","5946","1594","1666","724","22709","2632","39","64","3316","1390","11081","2382","4847","1333","3426","1269",
"0500000US12071","Lee County, Florida","286887","5798","12549","2316","112973","4799","119521","5014","31178","3216","10666","1927","80474","4945","7115","1696","60387","4127","10597","2293","1770","837","605","385","130946","5160","3040","892","41409","3128","72438","3926","12280","2106","1779","719","30665","2785","1504","929","5574","1517","13973","2199","6678","1372","2936","1072","44802","3534","890","706","5603","1619","22513","2741","10450","2206","5346","1624",
"0500000US12073","Leon County, Florida","116283","2781","6992","1310","45926","3316","43104","2841","15136","2027","5125","1255","35906","2940","4332","1102","28265","3020","2964","885","277","291","68","112","41439","3059","1351","522","10869","1632","24457","2377","3634","856","1128","534","18617","2298","834","544","4146","1224","7491","1372","5386","1229","760","441","20321","2285","475","347","2646","888","8192","1370","5839","1390","3169","981",
"0500000US12081","Manatee County, Florida","145171","4572","4969","1116","59947","3587","57953","3525","15138","2227","7164","1446","39978","3332","3105","879","31745","3122","4395","1350","447","246","286","380","66575","3497","1202","606","22785","2573","37655","2902","4402","1243","531","359","13613","2332","96","121","2533","1088","6092","1333","3825","1238","1067","630","25005","2801","566","605","2884","1149","9811","1713","6464","1641","5280","1310",
"0500000US12083","Marion County, Florida","145622","4007","9158","2084","60825","4532","50647","3946","16818","2550","8174","2287","42578","3828","6089","1740","31679","3569","4014","1221","675","402","121","153","60391","3408","2206","994","22020","2185","29688","3186","5488","1306","989","689","18858","2760","863","723","2059","865","9184","1799","4797","1406","1955","971","23795","3352","0","234","5067","1946","7761","1932","5858","1920","5109","1989",
"0500000US12085","Martin County, Florida","65014","2055","2394","859","27107","2509","26087","2680","7356","1197","2070","597","20197","2359","1769","723","16613","2337","1516","602","257","253","42","72","26963","2309","454","470","7697","1523","15831","1934","2624","839","357","233","7773","1714","24","43","1416","948","4269","1248","1772","669","292","216","10081","1739","147","227","1381","926","4471","1348","2703","874","1379","543",
"0500000US12086","Miami-Dade County, Florida","912805","5898","93114","5122","345958","8912","312918","7614","114222","5675","46593","3502","224165","7683","56994","4008","148847","6877","15011","2208","2727","943","586","364","285025","8570","22047","2909","113054","6171","132366","6144","14938","2105","2620","836","175033","6600","6870","1793","49210","4214","74908","4811","37852","3676","6193","1390","228582","6245","7203","1389","34847","3427","90633","5493","58705","4394","37194","3074",
"0500000US12087","Monroe County, Florida","32839","2048","3511","1004","12575","1480","11418","1567","4021","845","1314","499","10682","1416","2267","862","6060","1144","1875","646","480","326","0","234","14797","1688","907","451","4941","931","7054","1287","1349","478","546","310","3921","869","72","130","1151","486","1289","397","1173","535","236","210","3439","886","265","360","423","276","1200","478","1019","453","532","366",
"0500000US12089","Nassau County, Florida","35212","1465","1006","526","9949","1668","14444","1672","6206","1185","3607","1080","6324","1266","703","471","4980","1231","215","170","87","143","339","281","17523","1834","163","158","3665","1103","8877","1579","2936","734","1882","988","4489","1088","140","195","406","341","1638","683","1625","674","680","399","6876","1279","0","234","898","534","3714","1075","1558","743","706","465",
"0500000US12091","Okaloosa County, Florida","76097","2603","2896","939","26728","2252","30752","2591","10722","1807","4999","1039","22080","2192","1912","735","17225","2073","2666","809","206","186","71","118","26381","2303","759","550","5399","1083","16289","1877","3055","1018","879","353","11677","1972","43","71","1933","934","4961","1115","3936","1089","804","532","15959","1565","182","170","2171","758","6836","1439","3525","980","3245","864",
"0500000US12095","Orange County, Florida","457949","6978","20452","2171","165918","7256","183897","7623","63883","4542","23799","2829","112659","5779","11239","1866","87359","5246","11478","2350","2193","1194","390","345","150462","6289","4534","1190","41777","4172","87596","4785","14172","1824","2383","982","79223","5804","1865","679","17039","3073","36946","3845","20939","2693","2434","871","115605","6553","2814","912","19743","3297","47877","4505","26579","3494","18592","2530",
"0500000US12097","Osceola County, Florida","111539","4304","5390","1381","42175","4279","38037","4061","17560","2758","8377","2142","28250","3927","2845","1021","21507","3623","2502","1111","303","309","1093","1128","36123","3935","1691","954","12512","2563","16232","2772","4661","1415","1027","840","17076","2631","620","586","3398","1085","8121","2089","4077","1232","860","600","30090","2995","234","207","4758","1658","11182","2351","8519","1906","5397","1342",
"0500000US12099","Palm Beach County, Florida","568915","6021","32939","2796","232510","6353","218160","7101","61858","3917","23448","2587","172412","6796","20704","2128","132305","5984","16381","2555","2044","684","978","711","214992","6884","7259","1525","70154","4617","121364","4849","13628","1909","2587","879","79908","4449","1650","590","15277","2475","38469","3531","20254","2524","4258","1188","101603","4818","3326","1054","14774","2736","41946","3130","25932","2874","15625","2141",
"0500000US12101","Pasco County, Florida","212856","4410","11185","1779","82316","3975","85426","4078","24771","2405","9158","1511","57692","3619","7002","1345","42452","3139","6920","1298","768","403","550","326","83388","3726","3224","843","27624","2233","43249","2967","7404","1252","1887","821","33816","3041","478","398","7670","1710","15680","2169","8174","1485","1814","641","37960","3123","481","344","4570","1312","19577","2409","8425","1350","4907","1002",
"0500000US12103","Pinellas County, Florida","395286","6581","28129","2983","179301","5166","140608","4561","37356","2942","9892","1445","142904","5122","21157","2450","111095","4461","8726","1452","1684","725","242","221","160334","5120","5377","1225","51939","3140","87116","3900","14150","1928","1752","569","48758","3375","1398","737","10291","1819","22884","2441","12254","1616","1931","621","43290","3094","197","182","5976","1256","21882","2416","9268","1261","5967","1222",
"0500000US12105","Polk County, Florida","238629","5267","11959","1707","97201","5128","89870","4644","27246","2733","12353","2074","64481","4513","7922","1351","45184","3655","8488","1886","2313","1098","574","548","90588","4329","2181","787","33668","3022","45876","3492","7092","1526","1771","626","35236","3178","1153","603","9646","2133","13402","1973","8948","1354","2087","745","48324","3746","703","463","8703","2070","22104","2351","8893","1790","7921","1907",
"0500000US12107","Putnam County, Florida","30866","1415","1868","961","10229","1396","11064","1368","5186","1021","2519","872","8729","1587","1648","919","4857","1174","1959","643","214","244","51","90","10319","1438","167","191","3048","907","4655","985","1779","698","670","419","5051","1296","53","77","978","546","2133","872","1178","495","709","411","6767","1269","0","234","1346","618","2317","893","2015","758","1089","736",
"0500000US12109","St. Johns County, Florida","94761","2990","2031","673","29236","3030","42700","3349","15050","1986","5744","1278","20337","2364","1082","532","16462","2335","2283","869","510","303","0","234","35335","2474","481","299","8330","1589","21637","2226","4219","989","668","458","17375","2075","289","342","3464","1814","6788","1500","5000","1292","1834","808","21714","2478","179","218","980","697","11992","1871","5321","1329","3242","961",
"0500000US12111","St. Lucie County, Florida","116900","4160","5349","1588","47119","3781","46594","3653","13605","2190","4233","1274","31961","2977","3745","1439","22845","2511","4655","1660","652","616","64","114","46431","3668","981","584","17778","2929","24295","3130","2822","941","555","612","17234","2376","557","547","4239","1288","7611","1607","3682","1226","1145","830","21274","2802","66","111","2257","959","10033","2492","6449","1647","2469","852",
"0500000US12113","Santa Rosa County, Florida","66187","2766","2557","1145","18631","2254","28778","2639","11857","2030","4364","1117","16886","2108","1769","986","10337","1807","4043","1278","668","485","69","119","23717","2266","716","594","5703","1350","12708","1860","3461","971","1129","616","9642","1705","72","127","1327","657","4591","1283","2950","959","702","336","15942","1751","0","234","1264","784","7436","1339","4778","1344","2464","849",
"0500000US12115","Sarasota County, Florida","187411","4122","9014","1696","79927","3694","72877","3804","19489","2389","6104","1284","59108","3419","6300","1354","46185","3141","5416","1165","802","569","405","398","89649","4026","1876","770","27670","2697","50951","2984","7702","1761","1450","710","18223","2575","366","445","3257","1088","8690","1968","4875","1085","1035","577","20431","2308","472","399","2815","1269","7820","1506","6110","1422","3214","949",
"0500000US12117","Seminole County, Florida","181142","2623","8235","1462","59484","3598","76287","4256","27467","2795","9669","1562","43599","3347","4565","1208","33688","3340","4196","1104","1109","729","41","70","64009","3730","2154","874","13955","2097","38724","2931","7792","1511","1384","679","31184","3705","598","446","6297","1637","13466","1965","8758","1707","2065","801","42350","3022","918","540","5544","1548","19901","2740","9808","1781","6179","1184",
"0500000US12119","Sumter County, Florida","59458","3085","2760","1148","35873","2804","17383","2872","2591","936","851","417","18475","2907","2153","1114","14457","2716","1826","1118","0","234","39","68","35391","2972","478","411","20875","2693","12495","2331","1392","710","151","150","2965","1011","0","234","327","238","1582","858","703","439","353","355","2627","893","129","182","214","209","1480","755","496","410","308","232",
"0500000US12127","Volusia County, Florida","219451","3752","12744","1997","82952","4321","84507","4081","27407","2913","11841","1989","65383","4398","9676","1875","45714","3931","8119","1421","1162","566","712","394","85688","4012","1506","428","25858","2576","45853","3471","9337","1502","3134","866","32699","3146","929","597","6124","1465","14930","2117","8892","1645","1824","751","35681","3084","633","504","5256","1547","15605","2338","8016","1759","6171","1447",
"0500000US12131","Walton County, Florida","26475","2685","1280","748","7910","1601","10989","1694","4715","1439","1581","820","7178","1671","799","631","4572","1507","1282","719","103","129","422","565","8340","1572","419","344","1914","774","4883","1131","834","484","290","297","5490","1257","62","106","1065","753","2481","807","1636","745","246","230","5467","1315","0","234","359","283","2343","816","2142","1013","623","432",
